epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1809.61,1.77225,1.89211,0.00516,0.34307,0.25422,0.20074,0.06621,2.4866,3.28984,0.01084,0.000999658,0.000999658,0.00103388
2,3603.9,1.49197,1.03784,0.00418,0.42008,0.23595,0.18646,0.06046,2.68863,3.87575,0.01193,0.000802,0.000802,0.000802
3,5397.51,1.32708,0.76763,0.00361,0.38665,0.22464,0.16933,0.0529,2.73665,3.87505,0.01234,0.000604,0.000604,0.000604
4,7190.59,1.20367,0.62563,0.00322,0.41672,0.22165,0.15347,0.04873,2.91679,4.43983,0.01324,0.000406,0.000406,0.000406
5,8983.97,1.11342,0.54828,0.0029,0.43493,0.21679,0.15455,0.04894,2.96911,4.5629,0.01355,0.000208,0.000208,0.000208
