epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,614.233,1.89617,2.67042,0.0056,0.31192,0.17924,0.14994,0.04673,2.42307,3.38147,0.01061,0.000332991,0.000332991,0.0670338
2,1216.31,1.74178,1.75256,0.00506,0.30154,0.23696,0.16636,0.05313,2.56985,3.30126,0.01123,0.000622347,0.000622347,0.0339899
3,1816.41,1.63841,1.41069,0.00465,0.30926,0.25737,0.18283,0.06192,2.55318,3.58,0.01115,0.000867703,0.000867703,0.000901891
4,2415.66,1.56183,1.22058,0.00441,0.38234,0.29012,0.22983,0.07223,2.59772,3.03872,0.01143,0.000802,0.000802,0.000802
5,3014.13,1.49306,1.06844,0.00419,0.38673,0.28355,0.21203,0.06989,2.58025,3.3008,0.01136,0.000736,0.000736,0.000736
6,3612.86,1.43059,0.95108,0.00398,0.40577,0.24968,0.20781,0.07201,2.60725,3.75635,0.01152,0.00067,0.00067,0.00067
7,4211.18,1.36959,0.85442,0.00376,0.35229,0.21218,0.15104,0.04961,2.78843,4.3553,0.01268,0.000604,0.000604,0.000604
8,4809.56,1.33418,0.7901,0.00364,0.42022,0.25691,0.19604,0.06187,2.69626,3.68021,0.01203,0.000538,0.000538,0.000538
9,5407.92,1.28473,0.72371,0.00345,0.43568,0.23855,0.18866,0.06563,2.78526,4.28221,0.01263,0.000472,0.000472,0.000472
10,6006.4,1.24409,0.67987,0.00335,0.38431,0.24352,0.17438,0.05643,2.80874,4.06847,0.01276,0.000406,0.000406,0.000406
11,6604.77,1.20132,0.63616,0.0032,0.3774,0.25194,0.17456,0.0553,2.829,3.97659,0.01287,0.00034,0.00034,0.00034
12,7203.06,1.16687,0.59707,0.00311,0.41069,0.24688,0.17614,0.05549,2.83611,4.18643,0.013,0.000274,0.000274,0.000274
13,7801.38,1.13593,0.56891,0.003,0.41797,0.23915,0.17251,0.05537,2.87712,4.37636,0.01361,0.000208,0.000208,0.000208
14,8399.96,1.10833,0.54512,0.00289,0.42991,0.23272,0.16994,0.05405,2.85311,4.39687,0.01339,0.000142,0.000142,0.000142
15,8997.91,1.09285,0.53346,0.00284,0.42034,0.23555,0.16819,0.053,2.87608,4.45444,0.01353,7.6e-05,7.6e-05,7.6e-05
