epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1811.96,1.77701,1.75947,0.00517,0.35594,0.30211,0.2398,0.07741,2.47868,2.917,0.01077,0.000999658,0.000999658,0.00103388
2,3603.86,1.48868,1.03643,0.00417,0.35465,0.25335,0.17999,0.05798,2.49624,3.5331,0.01117,0.000802,0.000802,0.000802
3,5396.14,1.32483,0.76715,0.0036,0.37446,0.26477,0.18779,0.05755,2.66577,3.38982,0.01182,0.000604,0.000604,0.000604
4,7187.7,1.20284,0.62089,0.00323,0.43922,0.24907,0.18341,0.05677,2.74672,4.08376,0.01234,0.000406,0.000406,0.000406
5,8978.42,1.11742,0.54561,0.00292,0.40782,0.22225,0.1543,0.0477,2.84537,4.42219,0.01278,0.000208,0.000208,0.000208
