epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1812.62,1.75107,1.96885,0.00507,0.34481,0.31016,0.24956,0.0797,2.40056,2.85042,0.01048,0.000999658,0.000999658,0.00103388
2,3605.26,1.48818,1.07564,0.00418,0.34689,0.21438,0.1577,0.05175,2.70326,3.91501,0.01205,0.000802,0.000802,0.000802
3,5397.65,1.3302,0.79198,0.00363,0.39279,0.25914,0.19297,0.05778,2.75541,3.58579,0.01237,0.000604,0.000604,0.000604
4,7188.11,1.20312,0.64299,0.00322,0.42754,0.2698,0.19984,0.06174,2.74533,3.77202,0.01238,0.000406,0.000406,0.000406
5,8981.16,1.12065,0.56658,0.00293,0.41759,0.23872,0.17403,0.05412,2.9621,4.13819,0.01347,0.000208,0.000208,0.000208
